matrix_dim, etime, flops, cores
8192, 74.482379, 14762036907.763111, 10
8192, 69.769163, 15759277888.656912, 10
8192, 76.984561, 14282235470.252275, 10
8192, 73.410118, 14977657817.904612, 10
8192, 71.175784, 15447833040.743185, 10
8192, 72.857313, 15091300824.887680, 10
8192, 71.270887, 15427219641.254078, 10
8192, 77.340291, 14216543712.978790, 10
8192, 71.606990, 15354808626.587992, 10
8192, 74.028448, 14852555436.202040, 10
matrix_dim, etime, flops, cores
8192, 73.037640, 15054041009.211142, 11
8192, 70.791904, 15531601294.068880, 11
8192, 72.097040, 15250440625.246195, 11
8192, 77.732244, 14144858956.805622, 11
8192, 71.530573, 15371212359.448036, 11
8192, 67.262729, 16346521232.821228, 11
8192, 68.582141, 16032039999.684467, 11
8192, 73.251831, 15010022449.486622, 11
8192, 68.352773, 16085837918.763004, 11
8192, 68.053823, 16156500535.994871, 11
matrix_dim, etime, flops, cores
8192, 69.603905, 15796694564.421350, 12
8192, 61.634652, 17839179618.893604, 12
8192, 68.685635, 16007883275.389387, 12
8192, 71.459433, 15386514860.480350, 12
8192, 65.975406, 16665477250.355988, 12
8192, 67.375449, 16319173290.793207, 12
8192, 66.634486, 16500639440.304230, 12
8192, 65.987692, 16662374367.874544, 12
8192, 67.573049, 16271452066.281633, 12
8192, 66.621042, 16503969238.067455, 12
matrix_dim, etime, flops, cores
8192, 64.664919, 17003216655.633636, 13
8192, 61.037085, 18013829260.948486, 13
8192, 65.089339, 16892345884.415880, 13
8192, 62.061007, 17716625638.639736, 13
8192, 65.418968, 16807229789.623093, 13
8192, 63.598071, 17288443037.462566, 13
8192, 67.494165, 16290469372.811710, 13
8192, 63.748532, 17247638389.163219, 13
8192, 67.416550, 16309224185.693275, 13
8192, 59.436809, 18498833404.330303, 13
matrix_dim, etime, flops, cores
8192, 60.920573, 18048281124.604656, 14
8192, 63.717598, 17256011875.651684, 14
8192, 56.765295, 19369433872.861931, 14
8192, 64.902317, 16941022733.841692, 14
8192, 63.119447, 17419538352.039112, 14
8192, 62.070679, 17713864992.132599, 14
8192, 62.551779, 17577623616.044556, 14
8192, 65.028668, 16908106249.016205, 14
8192, 56.063492, 19611900517.648811, 14
8192, 59.816412, 18381437318.172813, 14
matrix_dim, etime, flops, cores
8192, 57.078729, 19263071323.399651, 15
8192, 57.695033, 19057301306.613342, 15
8192, 54.254037, 20265987354.563129, 15
8192, 58.697460, 18731843384.296356, 15
8192, 53.044169, 20728227974.991936, 15
8192, 56.452897, 19476620088.708645, 15
8192, 56.969835, 19299891385.958900, 15
8192, 54.654982, 20117317535.224876, 15
8192, 55.064265, 19967789051.138702, 15
8192, 64.009692, 17177267901.492167, 15
matrix_dim, etime, flops, cores
8192, 53.637816, 20498814265.219151, 16
8192, 52.651084, 20882981778.228916, 16
8192, 59.070243, 18613629670.966480, 16
8192, 52.086288, 21109425724.021645, 16
8192, 54.414075, 20206382774.603813, 16
8192, 56.495972, 19461770261.709984, 16
8192, 54.205836, 20284008308.182907, 16
8192, 55.357715, 19861940251.254951, 16
8192, 53.737417, 20460820209.799068, 16
8192, 58.134648, 18913189734.562424, 16
matrix_dim, etime, flops, cores
8192, 51.708613, 21263607046.973007, 17
8192, 53.767097, 20449525623.003227, 17
8192, 53.468429, 20563754131.919605, 17
8192, 54.497707, 20175374126.768307, 17
8192, 53.245737, 20649758830.007370, 17
8192, 54.853246, 20044604612.387024, 17
8192, 53.508721, 20548269650.773376, 17
8192, 52.000824, 21144119327.339890, 17
8192, 53.299925, 20628765008.130875, 17
8192, 55.006021, 19988932262.088181, 17
matrix_dim, etime, flops, cores
8192, 561.312545, 1958822473.451043, 1
8192, 561.818269, 1957059227.947605, 1
8192, 557.969343, 1970559210.053231, 1
8192, 554.584848, 1982585048.511820, 1
8192, 569.321889, 1931265333.407899, 1
8192, 560.661520, 1961097005.152057, 1
8192, 558.243651, 1969590922.899721, 1
8192, 555.781272, 1978317160.309065, 1
8192, 558.858895, 1967422613.495308, 1
8192, 558.696383, 1967994891.737110, 1
matrix_dim, etime, flops, cores
8192, 50.157551, 21921158546.516754, 18
8192, 51.638023, 21292674736.521187, 18
8192, 54.020712, 20353519734.726933, 18
8192, 53.867174, 20411533520.878597, 18
matrix_dim, etime, flops, cores
8192, 59.696392, 18418393322.263092, 19
matrix_dim, etime, flops, cores
8192, 51.098837, 21517351320.070160, 20
matrix_dim, etime, flops, cores
8192, 49.392141, 22260861860.108471, 21
matrix_dim, etime, flops, cores
8192, 51.511076, 21345149687.341026, 22
matrix_dim, etime, flops, cores
8192, 52.484663, 20949198583.517628, 23
matrix_dim, etime, flops, cores
8192, 48.304551, 22762071171.637638, 24
matrix_dim, etime, flops, cores
8192, 48.880573, 22493836718.648941, 25
matrix_dim, etime, flops, cores
8192, 47.957339, 22926868977.780441, 26
matrix_dim, etime, flops, cores
8192, 48.615077, 22616679755.048008, 27
matrix_dim, etime, flops, cores
8192, 268.478845, 4095338043.397796, 2
8192, 271.781530, 4045571558.067246, 2
8192, 271.944182, 4043151869.217044, 2
8192, 271.285053, 4052975332.098374, 2
8192, 272.647600, 4032720727.327143, 2
8192, 274.454019, 4006177908.351198, 2
8192, 270.419127, 4065953617.903663, 2
8192, 272.506679, 4034806162.589505, 2
8192, 272.251041, 4038594760.693679, 2
8192, 269.252865, 4083565193.543994, 2
matrix_dim, etime, flops, cores
8192, 44.439734, 24741633867.025394, 28
8192, 44.458760, 24731045755.122276, 28
8192, 45.502000, 24164028565.249878, 28
8192, 46.679996, 23554235689.651730, 28
