matrix_dim, etime, flops, cores
16384, 363.644172, 24188736406.335144, 28
16384, 372.188885, 23633411358.342953, 28
16384, 373.084198, 23576696813.645267, 28
16384, 367.702055, 23921794568.724945, 28
16384, 362.041729, 24295798847.563232, 28
16384, 366.419588, 24005520748.001060, 28
16384, 364.249193, 24148558709.937897, 28
16384, 372.999577, 23582045569.472591, 28
16384, 371.810208, 23657481244.323448, 28
16384, 362.751128, 24248285789.501392, 28
